Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,"Days to 
Deliver","Delivery 
Company","Price per 
Unit",Delivery charges,Units Sold,Total Sales,Operating Profit,Operating Margin
Gyaan Beverages,21102,45422,North,Haryana,Chandigarh,Mirinda,24,DTDC,18,15,8750,288750,86625,0.3
Gyaan Beverages,21102,45422,North,Himachal Pradesh,Shimla,Sprite,20,Blue Dart,25,15,10000,400000,100000,0.25
Gyaan Beverages,21102,45455,North,Uttar Pradesh,Lucknow,Pepsi,18,Xpress Bees,30,12,12500,525000,262500,0.5
Gyaan Beverages,21102,45455,North,Uttar Pradesh,Lucknow,Coca-Cola,36,Delhivery,30,10,10000,400000,120000,0.3
Gyaan Beverages,21102,45455,North,Himachal Pradesh,Shimla,Mirinda,58,Xpress Bees,18,12,9250,277500,97125,0.35
Gyaan Beverages,21102,45455,North,Punjab,Chandigarh,Mirinda,51,DTDC,18,15,9000,297000,103950,0.35
Gyaan Beverages,21102,45455,North,Himachal Pradesh,Shimla,Maaza,37,Blue Dart,20,15,9000,315000,94500,0.3
Gyaan Beverages,21102,45455,North,Madhya Pradesh,Bhopal,Coca-Cola,16,DTDC,30,15,10500,472500,118125,0.25
Gyaan Beverages,21102,45483,North,Madhya Pradesh,Bhopal,Limca,44,Blue Dart,18,15,12750,420750,210375,0.5
Gyaan Beverages,21102,45483,North,Haryana,Chandigarh,Maaza,32,DTDC,20,15,10250,358750,107625,0.3
Gyaan Beverages,21102,45483,North,Uttarakhand,Dehradun,Frooti,43,DTDC,20,15,9500,332500,116375,0.35
Gyaan Beverages,21102,45483,North,Haryana,Chandigarh,Limca,25,DTDC,18,15,9000,297000,103950,0.35
Gyaan Beverages,21102,45483,North,Haryana,Chandigarh,Coca-Cola,55,Delhivery,30,10,9250,370000,111000,0.3
Gyaan Beverages,21102,45483,North,Uttarakhand,Dehradun,Pepsi,19,Xpress Bees,30,12,11000,462000,115500,0.25
Gyaan Beverages,21102,45515,North,Haryana,Chandigarh,Limca,52,Blue Dart,18,15,12500,412500,206250,0.5
Gyaan Beverages,21102,45515,North,Haryana,Chandigarh,Frooti,18,Delhivery,20,10,10250,307500,92250,0.3
Gyaan Beverages,21102,45515,North,Himachal Pradesh,Shimla,Maaza,33,Blue Dart,20,15,9500,332500,116375,0.35
Gyaan Beverages,21102,45515,North,Punjab,Chandigarh,Frooti,19,Delhivery,20,10,9250,277500,97125,0.35
Gyaan Beverages,21102,45515,North,Himachal Pradesh,Shimla,Mirinda,60,Blue Dart,18,15,9000,297000,89100,0.3
Gyaan Beverages,21102,45515,North,Uttarakhand,Dehradun,Limca,21,Delhivery,18,10,10750,301000,75250,0.25
Gyaan Beverages,21102,45545,North,Haryana,Chandigarh,Mirinda,15,DTDC,18,15,12000,396000,198000,0.5
Gyaan Beverages,21102,45545,North,Madhya Pradesh,Bhopal,Frooti,35,Blue Dart,20,15,10000,350000,105000,0.3
Gyaan Beverages,21102,45545,North,Delhi,New Delhi,Mirinda,48,DTDC,18,15,9250,305250,106837.5,0.35
Gyaan Beverages,21102,45545,North,Madhya Pradesh,Bhopal,Mirinda,24,Delhivery,18,10,9000,252000,88200,0.35
Gyaan Beverages,21102,45545,North,Uttarakhand,Dehradun,Maaza,55,DTDC,20,15,9000,315000,94500,0.3
Gyaan Beverages,21102,45545,North,Punjab,Chandigarh,Frooti,17,Xpress Bees,20,12,10000,320000,80000,0.25
Gyaan Beverages,21102,45577,North,Haryana,Chandigarh,Limca,55,Blue Dart,18,15,11750,387750,193875,0.5
Gyaan Beverages,21102,45577,North,Uttar Pradesh,Lucknow,Coca-Cola,54,Blue Dart,30,15,10000,450000,135000,0.3
Gyaan Beverages,21102,45577,North,Delhi,New Delhi,Sprite,30,Blue Dart,25,15,9000,360000,126000,0.35
Gyaan Beverages,21102,45577,North,Madhya Pradesh,Bhopal,Mirinda,55,Xpress Bees,18,12,8750,262500,91875,0.35
Gyaan Beverages,21102,45577,North,Madhya Pradesh,Bhopal,Pepsi,25,Delhivery,30,10,8750,350000,105000,0.3
Gyaan Beverages,21102,45577,North,Uttar Pradesh,Lucknow,Mirinda,48,Delhivery,18,10,10000,280000,70000,0.25
Gyaan Beverages,21102,45607,North,Haryana,Chandigarh,Pepsi,25,Delhivery,30,10,11500,460000,230000,0.5
Gyaan Beverages,21102,45607,North,Haryana,Chandigarh,Maaza,44,DTDC,20,15,9750,341250,102375,0.3
Gyaan Beverages,21102,45607,North,Punjab,Chandigarh,Coca-Cola,35,Delhivery,30,10,9200,368000,128800,0.35
Gyaan Beverages,21102,45607,North,Punjab,Chandigarh,Sprite,27,Blue Dart,25,15,9000,360000,126000,0.35
Gyaan Beverages,21102,45607,North,Delhi,New Delhi,Coca-Cola,17,Blue Dart,30,15,8750,393750,118125,0.3
Gyaan Beverages,21102,45607,North,Uttar Pradesh,Lucknow,Sprite,19,DTDC,25,15,9750,390000,97500,0.25
Gyaan Beverages,21102,45636,North,Uttar Pradesh,Lucknow,Sprite,55,DTDC,25,15,12000,480000,240000,0.5
Gyaan Beverages,21102,45636,North,Uttarakhand,Dehradun,Pepsi,23,Blue Dart,30,15,10000,450000,135000,0.3
Gyaan Beverages,21102,45636,North,Uttarakhand,Dehradun,Mirinda,42,Blue Dart,18,15,9500,313500,109725,0.35
Gyaan Beverages,21102,45636,North,Uttar Pradesh,Lucknow,Sprite,47,Xpress Bees,25,12,9000,333000,116550,0.35
Gyaan Beverages,21102,45636,North,Haryana,Chandigarh,Maaza,26,Delhivery,20,10,9000,270000,81000,0.3
Gyaan Beverages,21102,45636,North,Punjab,Chandigarh,Pepsi,45,Xpress Bees,30,12,10000,420000,105000,0.25
Gyaan Beverages,21102,45293,South,Telangana,Hyderabad,Maaza,30,Xpress Bees,20,12,9000,288000,100800,0.35
Gyaan Beverages,21102,45293,South,Kerala,Thiruvananthapuram,Pepsi,28,Delhivery,30,10,9000,360000,126000,0.35
Gyaan Beverages,21102,45293,South,Tamil Nadu,Chennai,Limca,16,Blue Dart,18,15,7000,231000,80850,0.35
Gyaan Beverages,21102,45293,South,Tamil Nadu,Chennai,Mirinda,38,Delhivery,18,10,7000,196000,88200,0.45
Gyaan Beverages,21102,45293,South,Telangana,Hyderabad,Mirinda,42,Blue Dart,18,15,5500,181500,54450,0.3
Gyaan Beverages,21102,45293,South,Kerala,Thiruvananthapuram,Sprite,19,DTDC,25,15,7000,280000,140000,0.5
Gyaan Beverages,21102,45323,South,Kerala,Thiruvananthapuram,Sprite,21,Xpress Bees,25,12,8500,314500,110075,0.35
Gyaan Beverages,21102,45323,South,Tamil Nadu,Chennai,Pepsi,32,Xpress Bees,30,12,8500,357000,124950,0.35
Gyaan Beverages,21102,45323,South,Andhra Pradesh,Amaravati,Frooti,31,Delhivery,20,10,6750,202500,70875,0.35
Gyaan Beverages,21102,45323,South,Tamil Nadu,Chennai,Limca,43,Delhivery,18,10,6250,175000,78750,0.45
Gyaan Beverages,21102,45323,South,Telangana,Hyderabad,Sprite,45,DTDC,25,15,5000,200000,60000,0.3
Gyaan Beverages,21102,45323,South,Telangana,Hyderabad,Maaza,19,DTDC,20,15,7000,245000,122500,0.5
Gyaan Beverages,21102,45354,South,Telangana,Hyderabad,Sprite,29,DTDC,25,15,8750,350000,122500,0.35
Gyaan Beverages,21102,45354,South,Kerala,Thiruvananthapuram,Sprite,50,Blue Dart,25,15,8750,350000,122500,0.35
Gyaan Beverages,21102,45354,South,Karnataka,Bengaluru,Pepsi,32,Delhivery,30,10,7000,280000,98000,0.35
Gyaan Beverages,21102,45354,South,Andhra Pradesh,Amaravati,Mirinda,32,Delhivery,18,10,6000,168000,75600,0.45
Gyaan Beverages,21102,45354,South,Karnataka,Bengaluru,Coca-Cola,50,DTDC,30,15,5000,225000,67500,0.3
Gyaan Beverages,21102,45354,South,Andhra Pradesh,Amaravati,Maaza,19,Xpress Bees,20,12,6500,208000,104000,0.5
Gyaan Beverages,21102,45384,South,Karnataka,Bengaluru,Mirinda,58,Blue Dart,18,15,9000,297000,103950,0.35
Gyaan Beverages,21102,45384,South,Kerala,Thiruvananthapuram,Mirinda,27,Blue Dart,18,15,9000,297000,103950,0.35
Gyaan Beverages,21102,45384,South,Kerala,Thiruvananthapuram,Frooti,21,DTDC,20,15,7250,253750,88812.5,0.35
Gyaan Beverages,21102,45384,South,Kerala,Thiruvananthapuram,Limca,51,Blue Dart,18,15,6250,206250,92812.5,0.45
Gyaan Beverages,21102,45384,South,Karnataka,Bengaluru,Frooti,23,Xpress Bees,20,12,5250,168000,50400,0.3
Gyaan Beverages,21102,45384,South,Kerala,Thiruvananthapuram,Sprite,35,Delhivery,25,10,8000,280000,140000,0.5
Gyaan Beverages,21102,45414,South,Telangana,Hyderabad,Limca,22,Delhivery,18,10,9250,259000,90650,0.35
Gyaan Beverages,21102,45414,South,Telangana,Hyderabad,Pepsi,42,Xpress Bees,30,12,9250,388500,135975,0.35
Gyaan Beverages,21102,45414,South,Karnataka,Bengaluru,Limca,24,DTDC,18,15,7750,255750,89512.5,0.35
Gyaan Beverages,21102,45414,South,Telangana,Hyderabad,Pepsi,47,Delhivery,30,10,7000,280000,126000,0.45
Gyaan Beverages,21102,45414,South,Andhra Pradesh,Amaravati,Sprite,32,DTDC,25,15,6000,240000,72000,0.3
Gyaan Beverages,21102,45414,South,Tamil Nadu,Chennai,Frooti,53,Xpress Bees,20,12,9500,304000,152000,0.5
Gyaan Beverages,21102,45444,South,Karnataka,Bengaluru,Mirinda,59,Blue Dart,18,15,9500,313500,109725,0.35
Gyaan Beverages,21102,45444,South,Karnataka,Bengaluru,Sprite,23,DTDC,25,15,9500,380000,133000,0.35
Gyaan Beverages,21102,45444,South,Karnataka,Bengaluru,Frooti,29,Xpress Bees,20,12,8000,256000,89600,0.35
Gyaan Beverages,21102,45444,South,Andhra Pradesh,Amaravati,Sprite,35,Delhivery,25,10,7500,262500,118125,0.45
Gyaan Beverages,21102,45444,South,Kerala,Thiruvananthapuram,Coca-Cola,19,Xpress Bees,30,12,6500,273000,81900,0.3
Gyaan Beverages,21102,45444,South,Tamil Nadu,Chennai,Limca,45,Delhivery,18,10,10000,280000,140000,0.5
Gyaan Beverages,21102,45476,South,Kerala,Thiruvananthapuram,Limca,18,Blue Dart,18,15,9500,313500,109725,0.35
Gyaan Beverages,21102,45476,South,Kerala,Thiruvananthapuram,Mirinda,37,DTDC,18,15,9500,313500,109725,0.35
Gyaan Beverages,21102,45476,South,Telangana,Hyderabad,Mirinda,45,Delhivery,18,10,11000,308000,107800,0.35
Gyaan Beverages,21102,45476,South,Telangana,Hyderabad,Frooti,19,DTDC,20,15,7000,245000,110250,0.45
Gyaan Beverages,21102,45476,South,Karnataka,Bengaluru,Coca-Cola,54,Delhivery,30,10,7000,280000,84000,0.3
Gyaan Beverages,21102,45476,South,Karnataka,Bengaluru,Limca,30,Xpress Bees,18,12,9750,292500,146250,0.5
Gyaan Beverages,21102,45509,South,Telangana,Hyderabad,Maaza,40,DTDC,20,15,9250,323750,113312.5,0.35
Gyaan Beverages,21102,45509,South,Telangana,Hyderabad,Sprite,23,Blue Dart,25,15,9250,370000,129500,0.35
Gyaan Beverages,21102,45509,South,Kerala,Thiruvananthapuram,Pepsi,52,DTDC,30,15,11000,495000,173250,0.35
Gyaan Beverages,21102,45509,South,Telangana,Hyderabad,Frooti,31,Xpress Bees,20,12,6500,208000,93600,0.45
Gyaan Beverages,21102,45509,South,Kerala,Thiruvananthapuram,Maaza,37,Xpress Bees,20,12,6500,208000,62400,0.3
Gyaan Beverages,21102,45509,South,Andhra Pradesh,Amaravati,Frooti,59,Blue Dart,20,15,9000,315000,157500,0.5
Gyaan Beverages,21102,45537,South,Andhra Pradesh,Amaravati,Maaza,53,Blue Dart,20,15,8500,297500,104125,0.35
Gyaan Beverages,21102,45537,South,Telangana,Hyderabad,Pepsi,58,Delhivery,30,10,8500,340000,119000,0.35
Gyaan Beverages,21102,45537,South,Telangana,Hyderabad,Pepsi,57,DTDC,30,15,9000,405000,141750,0.35
Gyaan Beverages,21102,45537,South,Andhra Pradesh,Amaravati,Coca-Cola,22,DTDC,30,15,6250,281250,126562.5,0.45
Gyaan Beverages,21102,45537,South,Telangana,Hyderabad,Maaza,24,DTDC,20,15,6250,218750,65625,0.3
Gyaan Beverages,21102,45537,South,Tamil Nadu,Chennai,Frooti,31,Delhivery,20,10,8500,255000,127500,0.5
Gyaan Beverages,21102,45566,South,Andhra Pradesh,Amaravati,Mirinda,43,Delhivery,18,10,8000,224000,78400,0.35
Gyaan Beverages,21102,45566,South,Kerala,Thiruvananthapuram,Maaza,35,Delhivery,20,10,8000,240000,84000,0.35
Gyaan Beverages,21102,45566,South,Kerala,Thiruvananthapuram,Coca-Cola,60,Delhivery,30,10,7500,300000,105000,0.35
Gyaan Beverages,21102,45566,South,Kerala,Thiruvananthapuram,Coca-Cola,32,Blue Dart,30,15,6000,270000,121500,0.45
Gyaan Beverages,21102,45566,South,Karnataka,Bengaluru,Pepsi,16,Delhivery,30,10,5750,230000,69000,0.3
Gyaan Beverages,21102,45566,South,Tamil Nadu,Chennai,Pepsi,20,Blue Dart,30,15,7500,337500,168750,0.5
Gyaan Beverages,21102,45598,South,Karnataka,Bengaluru,Sprite,53,Blue Dart,25,15,9000,360000,126000,0.35
Gyaan Beverages,21102,45598,South,Kerala,Thiruvananthapuram,Pepsi,40,Blue Dart,30,15,9000,405000,141750,0.35
Gyaan Beverages,21102,45598,South,Andhra Pradesh,Amaravati,Frooti,35,Xpress Bees,20,12,8250,264000,92400,0.35
Gyaan Beverages,21102,45598,South,Karnataka,Bengaluru,Coca-Cola,30,Xpress Bees,30,12,6750,283500,127575,0.45
Gyaan Beverages,21102,45598,South,Kerala,Thiruvananthapuram,Frooti,15,DTDC,20,15,6500,227500,68250,0.3
Gyaan Beverages,21102,45598,South,Karnataka,Bengaluru,Coca-Cola,24,Delhivery,30,10,8500,340000,170000,0.5
Gyaan Beverages,21102,45627,South,Kerala,Thiruvananthapuram,Sprite,22,Blue Dart,25,15,9500,380000,133000,0.35
Gyaan Beverages,21102,45627,South,Andhra Pradesh,Amaravati,Mirinda,46,DTDC,18,15,9500,313500,109725,0.35
Gyaan Beverages,21102,45627,South,Tamil Nadu,Chennai,Pepsi,45,Blue Dart,30,15,8500,382500,133875,0.35
Gyaan Beverages,21102,45627,South,Tamil Nadu,Chennai,Limca,22,Delhivery,18,10,7000,196000,88200,0.45
Gyaan Beverages,21102,45627,South,Karnataka,Bengaluru,Coca-Cola,35,DTDC,30,15,6500,292500,87750,0.3
Gyaan Beverages,21102,45627,South,Tamil Nadu,Chennai,Maaza,16,Blue Dart,20,15,9000,315000,157500,0.5
Gyaan Beverages,21102,45311,West,Rajasthan,Jaipur,Coca-Cola,45,DTDC,30,15,7750,348750,122062.5,0.35
Gyaan Beverages,21102,45311,West,Rajasthan,Jaipur,Coca-Cola,50,Xpress Bees,30,12,7750,325500,65100,0.2
Gyaan Beverages,21102,45311,West,Goa,Panaji,Coca-Cola,25,Delhivery,30,10,7750,310000,108500,0.35
Gyaan Beverages,21102,45311,West,Rajasthan,Jaipur,Pepsi,48,Xpress Bees,30,12,6250,262500,78750,0.3
Gyaan Beverages,21102,45311,West,Rajasthan,Jaipur,Mirinda,57,Blue Dart,18,15,5750,189750,94875,0.5
Gyaan Beverages,21102,45311,West,Goa,Panaji,Frooti,20,DTDC,20,15,7750,271250,40687.5,0.15
Gyaan Beverages,21102,45342,West,Gujarat,Gandhinagar,Limca,26,Delhivery,18,10,8250,231000,80850,0.35
Gyaan Beverages,21102,45342,West,Gujarat,Gandhinagar,Limca,55,Blue Dart,18,15,7250,239250,47850,0.2
Gyaan Beverages,21102,45342,West,Maharashtra,Mumbai,Sprite,59,Delhivery,25,10,7250,253750,88812.5,0.35
Gyaan Beverages,21102,45342,West,Rajasthan,Jaipur,Sprite,60,Blue Dart,25,15,5750,230000,69000,0.3
Gyaan Beverages,21102,45342,West,Goa,Panaji,Sprite,21,Xpress Bees,25,12,5000,185000,92500,0.5
Gyaan Beverages,21102,45342,West,Goa,Panaji,Pepsi,39,DTDC,30,15,7000,315000,47250,0.15
Gyaan Beverages,21102,45370,West,Gujarat,Gandhinagar,Maaza,55,Blue Dart,20,15,8500,297500,104125,0.35
Gyaan Beverages,21102,45370,West,Gujarat,Gandhinagar,Maaza,38,DTDC,20,15,7000,245000,49000,0.2
Gyaan Beverages,21102,45370,West,Goa,Panaji,Sprite,49,Xpress Bees,25,12,7000,259000,90650,0.35
Gyaan Beverages,21102,45370,West,Goa,Panaji,Sprite,39,Xpress Bees,25,12,6000,222000,66600,0.3
Gyaan Beverages,21102,45370,West,Goa,Panaji,Mirinda,15,DTDC,18,15,5000,165000,82500,0.5
Gyaan Beverages,21102,45370,West,Rajasthan,Jaipur,Frooti,26,Blue Dart,20,15,7000,245000,36750,0.15
Gyaan Beverages,21102,45402,West,Gujarat,Gandhinagar,Frooti,31,Blue Dart,20,15,8750,306250,107187.5,0.35
Gyaan Beverages,21102,45402,West,Goa,Panaji,Maaza,18,Xpress Bees,20,12,6750,216000,43200,0.2
Gyaan Beverages,21102,45402,West,Gujarat,Gandhinagar,Sprite,41,DTDC,25,15,7250,290000,101500,0.35
Gyaan Beverages,21102,45402,West,Goa,Panaji,Mirinda,31,Delhivery,18,10,6250,175000,52500,0.3
Gyaan Beverages,21102,45402,West,Goa,Panaji,Sprite,46,Blue Dart,25,15,5250,210000,105000,0.5
Gyaan Beverages,21102,45402,West,Maharashtra,Mumbai,Coca-Cola,36,Delhivery,30,10,7000,280000,42000,0.15
Gyaan Beverages,21102,45433,West,Gujarat,Gandhinagar,Mirinda,26,DTDC,18,15,9000,297000,118800,0.4
Gyaan Beverages,21102,45433,West,Gujarat,Gandhinagar,Mirinda,15,Xpress Bees,18,12,7500,225000,56250,0.25
Gyaan Beverages,21102,45433,West,Goa,Panaji,Mirinda,39,Blue Dart,18,15,7500,247500,99000,0.4
Gyaan Beverages,21102,45433,West,Goa,Panaji,Maaza,32,Delhivery,20,10,6500,195000,68250,0.35
Gyaan Beverages,21102,45433,West,Maharashtra,Mumbai,Sprite,55,Delhivery,25,10,5500,192500,105875,0.55
Gyaan Beverages,21102,45433,West,Rajasthan,Jaipur,Coca-Cola,50,DTDC,30,15,7250,326250,65250,0.2
Gyaan Beverages,21102,45463,West,Goa,Panaji,Sprite,33,Xpress Bees,25,12,9750,360750,144300,0.4
Gyaan Beverages,21102,45463,West,Maharashtra,Mumbai,Limca,27,Blue Dart,18,15,8250,272250,68062.5,0.25
Gyaan Beverages,21102,45463,West,Rajasthan,Jaipur,Pepsi,53,DTDC,30,15,8250,371250,148500,0.4
Gyaan Beverages,21102,45463,West,Gujarat,Gandhinagar,Sprite,55,Xpress Bees,25,12,7000,259000,90650,0.35
Gyaan Beverages,21102,45463,West,Maharashtra,Mumbai,Sprite,46,Blue Dart,25,15,5750,230000,126500,0.55
Gyaan Beverages,21102,45463,West,Gujarat,Gandhinagar,Mirinda,35,DTDC,18,15,8750,288750,57750,0.2
Gyaan Beverages,21102,45492,West,Rajasthan,Jaipur,Coca-Cola,26,Delhivery,30,10,10250,410000,143500,0.35
Gyaan Beverages,21102,45492,West,Maharashtra,Mumbai,Maaza,25,Xpress Bees,20,12,8750,280000,56000,0.2
Gyaan Beverages,21102,45492,West,Maharashtra,Mumbai,Pepsi,36,Xpress Bees,30,12,8250,346500,121275,0.35
Gyaan Beverages,21102,45492,West,Rajasthan,Jaipur,Sprite,35,Xpress Bees,25,12,7250,268250,80475,0.3
Gyaan Beverages,21102,45492,West,Goa,Panaji,Frooti,15,Xpress Bees,20,12,7750,248000,124000,0.5
Gyaan Beverages,21102,45492,West,Goa,Panaji,Maaza,56,Delhivery,20,10,7750,232500,34875,0.15
Gyaan Beverages,21102,45524,West,Rajasthan,Jaipur,Maaza,56,Delhivery,20,10,9750,292500,102375,0.35
Gyaan Beverages,21102,45524,West,Maharashtra,Mumbai,Maaza,57,Xpress Bees,20,12,9250,296000,59200,0.2
Gyaan Beverages,21102,45524,West,Gujarat,Gandhinagar,Pepsi,37,Blue Dart,30,15,8000,360000,126000,0.35
Gyaan Beverages,21102,45524,West,Goa,Panaji,Limca,57,DTDC,18,15,7500,247500,74250,0.3
Gyaan Beverages,21102,45524,West,Maharashtra,Mumbai,Sprite,15,Xpress Bees,25,12,7500,277500,138750,0.5
Gyaan Beverages,21102,45524,West,Maharashtra,Mumbai,Pepsi,38,DTDC,30,15,7250,326250,48937.5,0.15
Gyaan Beverages,21102,45556,West,Goa,Panaji,Limca,30,DTDC,18,15,9250,305250,91575,0.3
Gyaan Beverages,21102,45556,West,Maharashtra,Mumbai,Maaza,58,Xpress Bees,20,12,9250,296000,44400,0.15
Gyaan Beverages,21102,45556,West,Rajasthan,Jaipur,Pepsi,38,Blue Dart,30,15,7750,348750,104625,0.3
Gyaan Beverages,21102,45556,West,Maharashtra,Mumbai,Sprite,30,Xpress Bees,25,12,7250,268250,67062.5,0.25
Gyaan Beverages,21102,45556,West,Gujarat,Gandhinagar,Maaza,19,DTDC,20,15,7250,253750,114187.5,0.45
Gyaan Beverages,21102,45556,West,Gujarat,Gandhinagar,Pepsi,48,Xpress Bees,30,12,7750,325500,32550,0.1
Gyaan Beverages,21102,45585,West,Goa,Panaji,Coca-Cola,55,Delhivery,30,10,8750,350000,105000,0.3
Gyaan Beverages,21102,45585,West,Goa,Panaji,Maaza,23,Delhivery,20,10,8750,262500,39375,0.15
Gyaan Beverages,21102,45585,West,Gujarat,Gandhinagar,Coca-Cola,42,Xpress Bees,30,12,7000,294000,88200,0.3
Gyaan Beverages,21102,45585,West,Maharashtra,Mumbai,Frooti,58,Xpress Bees,20,12,6750,216000,54000,0.25
Gyaan Beverages,21102,45585,West,Rajasthan,Jaipur,Frooti,35,DTDC,20,15,6500,227500,102375,0.45
Gyaan Beverages,21102,45585,West,Goa,Panaji,Mirinda,60,Delhivery,18,10,7000,196000,19600,0.1
Gyaan Beverages,21102,45616,West,Goa,Panaji,Mirinda,28,Blue Dart,18,15,8750,288750,86625,0.3
Gyaan Beverages,21102,45616,West,Goa,Panaji,Sprite,28,DTDC,25,15,8750,350000,52500,0.15
Gyaan Beverages,21102,45616,West,Rajasthan,Jaipur,Limca,30,Xpress Bees,18,12,7250,217500,65250,0.3
Gyaan Beverages,21102,45616,West,Gujarat,Gandhinagar,Mirinda,47,Blue Dart,18,15,7000,231000,57750,0.25
Gyaan Beverages,21102,45616,West,Gujarat,Gandhinagar,Frooti,27,Delhivery,20,10,6500,195000,87750,0.45
Gyaan Beverages,21102,45616,West,Maharashtra,Mumbai,Coca-Cola,31,Xpress Bees,30,12,7750,325500,32550,0.1
Gyaan Beverages,21102,45645,West,Gujarat,Gandhinagar,Mirinda,22,Blue Dart,18,15,9750,321750,96525,0.3
Gyaan Beverages,21102,45645,West,Goa,Panaji,Frooti,31,Xpress Bees,20,12,9750,312000,46800,0.15
Gyaan Beverages,21102,45645,West,Goa,Panaji,Limca,43,Xpress Bees,18,12,7750,232500,69750,0.3
Gyaan Beverages,21102,45645,West,Rajasthan,Jaipur,Mirinda,16,Blue Dart,18,15,7750,255750,63937.5,0.25
Gyaan Beverages,21102,45645,West,Maharashtra,Mumbai,Coca-Cola,27,DTDC,30,15,7000,315000,141750,0.45
Gyaan Beverages,21102,45645,West,Rajasthan,Jaipur,Mirinda,57,Xpress Bees,18,12,8000,240000,24000,0.1
Gyaan Beverages,21102,45306,West,Gujarat,Gandhinagar,Limca,54,DTDC,18,15,7000,231000,92400,0.4
Gyaan Beverages,21102,45306,West,Maharashtra,Mumbai,Coca-Cola,32,Blue Dart,30,15,7000,315000,78750,0.25
Gyaan Beverages,21102,45306,West,Goa,Panaji,Sprite,30,Xpress Bees,25,12,7000,259000,103600,0.4
Gyaan Beverages,21102,45306,West,Rajasthan,Jaipur,Sprite,30,Blue Dart,25,15,5500,220000,77000,0.35
